# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 258K of event 'cycles:P'
# Event count (approx.): 252527269824
#
# Overhead  Command  Shared Object         Symbol                                                                                                                                                                               
# ........  .......  ....................  .....................................................................................................................................................................................
#
     0.13%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f67eff
     0.13%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f727ba
     0.13%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f662ca
     0.13%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f8da5c
     0.13%  a.out    [kernel.kallsyms]     [k] 0xffffffff96016799
     0.13%  a.out    [kernel.kallsyms]     [k] 0xffffffff94ebfdb7
     0.13%  a.out    [kernel.kallsyms]     [k] 0xffffffff95ffeb8d
     0.13%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f87b5a
     0.13%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f87b64
     0.13%  a.out    [kernel.kallsyms]     [k] 0xffffffff95f88a0a
     0.13%  a.out    [kernel.kallsyms]     [k] 0xffffffff950023dd
     0.13%  a.out    [kernel.kallsyms]     [k] 0xffffffff96016ae5
     0.13%  a.out    [kernel.kallsyms]     [k] 0xffffffff94ebfcd0
     0.13%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6b81f
     0.13%  a.out    [kernel.kallsyms]     [k] 0xffffffff9519aea9
     0.12%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f71acc
     0.12%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6daa2
     0.12%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6d9e1
     0.12%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f713ca
     0.12%  a.out    [kernel.kallsyms]     [k] 0xffffffff94ebfcd5
     0.12%  a.out    [kernel.kallsyms]     [k] 0xffffffff95f8ba8a
     0.12%  a.out    [kernel.kallsyms]     [k] 0xffffffff960169b4
     0.12%  a.out    [kernel.kallsyms]     [k] 0xffffffff9519afa8
     0.12%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f511c5
     0.12%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f55847
     0.12%  a.out    [kernel.kallsyms]     [k] 0xffffffff95191f3b
     0.12%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6b823
     0.12%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f87b57
     0.11%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f55d0d
     0.11%  a.out    [kernel.kallsyms]     [k] 0xffffffff950023df
     0.11%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6db97
     0.11%  a.out    [kernel.kallsyms]     [k] 0xffffffff96006c4d
     0.11%  a.out    [kernel.kallsyms]     [k] 0xffffffff96006ab1
     0.11%  a.out    [kernel.kallsyms]     [k] 0xffffffff9519b113
     0.11%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f5109c
     0.11%  a.out    [kernel.kallsyms]     [k] 0xffffffff96006c99
     0.11%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f50671
     0.11%  a.out    [kernel.kallsyms]     [k] 0xffffffff9519b10b
     0.11%  a.out    [kernel.kallsyms]     [k] 0xffffffff950040ee
     0.11%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f67fda
     0.11%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f5f70d
     0.10%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f70e0c
     0.10%  a.out    [kernel.kallsyms]     [k] 0xffffffff95199d27
     0.10%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f662c2
     0.10%  a.out    [kernel.kallsyms]     [k] 0xffffffff96200116
     0.10%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f8da1f
     0.10%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6d9e6
     0.10%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f87a7c
     0.10%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f585bd
     0.10%  a.out    [kernel.kallsyms]     [k] 0xffffffff95199e01
     0.10%  a.out    [kernel.kallsyms]     [k] 0xffffffff951b0564
     0.10%  a.out    [kernel.kallsyms]     [k] 0xffffffff950036de
     0.10%  a.out    [kernel.kallsyms]     [k] 0xffffffff95f8ba92
     0.10%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f87b5f
     0.10%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f67ffa
     0.10%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f87bb4
     0.10%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f997b9
     0.09%  a.out    [kernel.kallsyms]     [k] 0xffffffff94ebfdb6
     0.09%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f717a4
     0.09%  a.out    [kernel.kallsyms]     [k] 0xffffffff95003607
     0.09%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f662cd
     0.09%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6daa9
     0.09%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f50673
     0.09%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f67ef7
     0.09%  a.out    [kernel.kallsyms]     [k] 0xffffffff94ebfcfb
     0.09%  a.out    [kernel.kallsyms]     [k] 0xffffffff94ffc69e
     0.09%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f7704d
     0.09%  a.out    [kernel.kallsyms]     [k] 0xffffffff95ffeb88
     0.09%  a.out    [kernel.kallsyms]     [k] 0xffffffff9519b1f0
